disease,text
psoriasis,i have been experiencing a skin rash on my arms legs and torso for the past few weeks it is red itchy and covered in dry scaly patches
psoriasis,my skin has been peeling especially on my knees elbows and scalp this peeling is often accompanied by a burning or stinging sensation
psoriasis,i have been experiencing joint pain in my fingers wrists and knees the pain is often achy and throbbing and it gets worse when i move my joints
psoriasis,there is a silver like dusting on my skin especially on my lower back and scalp this dusting is made up of small scales that flake off easily when i scratch them
psoriasis,my nails have small dents or pits in them and they often feel inflammatory and tender to the touch even there are minor rashes on my arms
psoriasis,the skin on my palms and soles is thickened and has deep cracks these cracks are painful and bleed easily
psoriasis,the skin around my mouth nose and eyes is red and inflamed it is often itchy and uncomfortable there is a noticeable inflammation in my nails
psoriasis,my skin is very sensitive and reacts easily to changes in temperature or humidity i often have to be careful about what products i use on my skin
psoriasis,i have noticed a sudden peeling of skin at different parts of my body mainly arms legs and back also i face severe joint pain and skin rashes
psoriasis,the skin on my genitals is red and inflamed it is often itchy burning and uncomfortable there are rashes on different parts of the body too
psoriasis,i have experienced fatigue and a general feeling of malaise i often feel tired and have a lack of energy even after a good nights sleep
psoriasis,the rash on my skin has spread to other parts of my body including my chest and abdomen it is itchy and uncomfortable and it is often worse at night i am also facing skin peeling
psoriasis,the rash on my skin is worse in the winter months when the air is dry i find that i have to moisturize more frequently and use humidifiers to keep my skin hydrated
psoriasis,i have experienced difficulty sleeping due to the itching and discomfort caused by the rash there are small dents in my nails which is really concerning
psoriasis,my skin is prone to infections due to dry flaky patches i am experiencing a strong pain in my joints the skin on my knees and elbows is starting to peel off
psoriasis,i am starting to have rashes on my skin the rash often bleeds when i scratch or rub it moreover i have noticed small dents in my nails
psoriasis,i have noticed that my skin has become more sensitive than it used to be there is a silver like dusting on my skin especially on my back and elbows
psoriasis,i am worried about the constant peeling of the skin on my palm elbow and knee i have developed rashes on my arms which itch if i touch them all of these are making my life quite discomforting and miserable
psoriasis,there is strange pain in my joints also i have noticed strange peeling of skin in different parts of my body i am afraid there is something wrong going on with my body
psoriasis,my nails have small dents on them even my joints have started to pain severely there is a silver like dusting on my skin particularly in my back
psoriasis,the rashes on my skin are not healing moreover i have noticed a sudden peeling of the skin especially the skin on my elbows and knees i am really worried about this
psoriasis,for the past few weeks ive had a skin rash on my arms legs and chest its red and irritating with dry scaly spots i have a strange pain in my joints too
psoriasis,my skin is peeling particularly on my knees elbows and scalp this peeling is frequently accompanied by a stinging or burning feeling
psoriasis,im having joint discomfort in my fingers wrists and knees the pain is frequently aching and throbbing and it worsens when i move my joints
psoriasis,my skin has a silvery film particularly on my back arms and scalp this dusting is composed of tiny scales that easily peel off when scratched
psoriasis,i have red and inflammatory skin around my mouth nose and eyes it is frequently irritating and unpleasant recently it has got very painful
psoriasis,my skin is extremely sensitive and quickly irritated by changes in temperature or humidity my nails have developed dents on them i am worried about this sudden change
psoriasis,ive seen a sudden peeling of skin on various regions of my body mostly my arms legs and back in addition i have significant joint pain and skin rashes the rash is spreading to different parts of my body
psoriasis,my genital skin is red and irritated it is frequently irritating burning and unpleasant there are also rashes in various places of the body also i have a strange pain in my joints
psoriasis,ive had trouble sleeping because of the itching and pain produced by the rash my nails have little dents which is really alarming there is a noticeable inflammation in my nails
psoriasis,because of dry flaky areas on my skin i am prone to infections my joints are in excruciating agony the skin on my knees and elbows is beginning to flake
psoriasis,my skin is breaking out in rashes when i scratch or rub the rash it frequently bleeds in addition ive observed little dents in my nails there is a noticeable inflammation in my nails
psoriasis,ive observed that my skin is more sensitive now than it used to be my skin has a silvery film especially on my back and elbows
psoriasis,my palms and soles have grown and developed severe fissures these cracks are unpleasant and frequently bleed also the skin is starting to peel off
psoriasis,my nails are starting to have small pits on them i am worried and dont know what is causing it also my joints pain and there are rashes on my arms and back
psoriasis,there is a silver like dusting on my skin moreover the skin on my arms and back are starting to peel off this is strange and really concerning me
psoriasis,my skin rash has extended to other areas of my body including my chest and belly it is irritating and unpleasant and it is frequently worst at night im also experiencing skin flaking
psoriasis,my skin rash gets worse in the winter when the air is dry to keep my skin moisturized i have to moisturize more regularly and use humidifiers i am also facing joint pain
psoriasis,ive had trouble sleeping because of the itching and pain produced by the rash my nails have little dents i am also experiencing skin peeling in different parts of my body
psoriasis,my skin is peeling in places especially on my knees elbows and arms this peeling is often accompanied by a painful or burning sensation i am also developing small dents on my nails which is really concerning
psoriasis,my skin has a silvery layer over it especially on my back and arms this dusting is made up of small scales that peel off readily when rubbed also there are rashes all over my body
psoriasis,my arms face and back are all red and irritated it is frequently irritating and unpleasant my nails have a strange inflammation and have developed small dents i have never seen anything like this
psoriasis,ive had trouble sleeping because of the itching and pain produced by the rash my nails have little dents which is really alarming moreover my joints pain everyday and i have no idea what is causing it
psoriasis,my fingers and soles have pretty thick skin that is cracked severely these fractures hurt and bleed frequently the fractures are itchy and covered with scales
psoriasis,my skin has changed from being less sensitive to being more sensitive my skin has a silvery coating especially on my back elbows and knees
psoriasis,my nails are slightly dented even my joints are now experiencing excruciating discomfort my skin has a silverlike powder especially on my back and elbows
psoriasis,ive had trouble falling asleep because of the rashs pain and itching the skin on my fingers are starting to peel off my nails have a few tiny cracks which is really worrying
psoriasis,my joints are experiencing an unusual discomfort additionally ive experienced weird skin peeling in various places on my body im concerned that something is wrong with my body
psoriasis,i am starting to have rashes on my arms and neck the rash often bleeds and hurts when i scratch it i have also developed small dents in my nails which is very strange
psoriasis,because of dry flaky areas on my skin i am prone to infections my joints are in extreme pain  my knees and elbows skin are starting to peel off
pneumonia,ive been feeling really cold and tired lately and ive been coughing a lot with chest pain my heart is beating really fast too and when i cough the phlegm is kind of a rusty color
pneumonia,ive been coughing a lot recently with chest pain and feeling incredibly chilly and exhausted additionally my heart is thumping rapidly and the phlegm i cough up has a reddish hue
pneumonia,ive been feeling really drained and cold and i cant stop coughing it hurts in my chest when i do and my heart feels like its racing the mucus im coughing up is a gross brownish color
pneumonia,ive been exhausted and chilly and i cant stop coughing when i do it pains in my chest and makes my heart race my coughing mucous has a disgusting brownish hue
pneumonia,ive been having chills and feeling exhausted and i cant seem to shake this cough my chest hurts when i cough and my heart feels like its going a million miles an hour the phlegm im coughing up is a dirty rust color
pneumonia,ive been experiencing chills feeling worn out and i cant seem to get rid of this cough when i cough my chest aches and my heart feels as like it is beating a million miles per hour im coughing up a nasty rustcolored phlegm
pneumonia,ive been feeling really weak and cold lately and this cough wont go away it hurts in my chest when i cough and my heart is pounding the mucus im bringing up is a rusty brown color
pneumonia,ive been having chills and feeling really worn out and this cough wont go away my chest hurts when i cough and my heart is racing the mucus im bringing up is a gross brownish color
pneumonia,ive been experiencing chills feel really exhausted and my cough just wont go away when i cough my chest aches and my heart is pounding its a disgusting brownish hue the mucous im coming up
pneumonia,i have a really high fever and im having trouble breathing im sweating a lot and feeling really cold and tired my heart is beating really fast and i have some brownish sputum
pneumonia,im having problems breathing and have a very high fever im perspiring a lot and experiencing extreme fatigue and chilly my heart is racing and im coughing up some brownish mucus
pneumonia,my temperature is very high and im having a hard time breathing im sweating profusely and im shaking with chills im really tired and my heart is beating really fast i also have some brownish phlegm coming up
pneumonia,im having trouble breathing and my fever is really high im drenched in sweat and shivering from the chill my heart is thumping rapidly and im quite exhausted additionally im about to have some brownish phlegm
pneumonia,my fever is really high and im having trouble catching my breath im sweating a lot feeling cold and tired and my heart is beating really fast i also have some brownish phlegm coming up
pneumonia,i have a really high fever and i have problems breathing my heart is racing quite quickly im perspiring a lot and i feel chilly and exhausted im also about to cough out some brownish phlegm
pneumonia,ive been feeling really sick with a high fever shortness of breath sweating chills and extreme fatigue my heart rate is rapid and ive been coughing up a lot of brownish sputum
pneumonia,with a high temperature shortness of breath sweating chills and intense exhaustion ive been feeling quite poorly ive been coughing up a lot of brownish phlegm and my pulse rate is racing
pneumonia,im having a really hard time catching my breath and im sweating a lot i feel really sick and have a lot of mucus in my throat my chest hurts and my heart is racing the mucus im coughing up is dark and looks like rust
pneumonia,im sweating profusely and finding it difficult to catch my breath i feel quite ill and my throat is very mucous my heart is pounding and my chest aches im coughing up thick mucous that resembles rust
pneumonia,im having a lot of trouble breathing and am really uneasy im feeling unwell and am perspiring a lot my chest hurts and i have a lot of mucus in my throat my heart is racing and the hue of the mucus im coughing up is off
pneumonia,i cant seem to get enough air and im sweating a lot i dont feel well and theres a lot of phlegm in my throat my chest hurts and my heart is racing the mucus im coughing up is reddish in color
pneumonia,im sweating profusely and cant seem to get enough air my throat is filled with a lot of mucus and i dont feel good my heart is pounding and my chest aches im coughing up reddishcolored mucous
pneumonia,i cant seem to catch my breath and im sweating a lot i feel really sick and have a lot of phlegm in my throat my chest hurts and my heart is racing the mucus im coughing up is yellowish
pneumonia,im dripping with perspiration and cant seem to catch my breath my throat is filled with a lot of phlegm and i feel awful my heart is pounding and my chest aches im coughing up brownish mucous
pneumonia,im having a hard time breathing and i feel really uncomfortable im sweating a lot and theres a lot of phlegm in my throat my chest hurts and my heart is beating fast the mucus im coughing up is brownish
pneumonia,im having trouble breathing and am quite uneasy my throat is filled with a lot of phlegm and im perspiring a lot my heart is racing and my chest aches im coughing up reddish mucous
pneumonia,i cant seem to catch my breath and im sweating a lot i feel really sick and have a lot of phlegm in my throat my chest hurts and my heart is racing the mucus im coughing up is brownish and stringy
pneumonia,im dripping with perspiration and cant seem to catch my breath my throat is filled with a lot of phlegm and i feel awful my heart is pounding and my chest aches im coughing up a stringy brownish mucous
pneumonia,im drenched with sweat and struggling to breathe i dont feel well and have a lot of mucous in my throat my chest aches and my heart is racing im coughing up mucus that is crimson in colour
pneumonia,ive been feeling very lousy with a high temperature shortness of breath sweating chills and extreme weariness my heart is beating and ive been coughing up a lot of brownish phlegm
pneumonia,i have a really high fever and i have problems breathing my heart is racing quite quickly im perspiring a lot and i feel chilly and exhausted im also about to cough out some brownish phlegm
pneumonia,my fever is really high and im having difficulty breathing im drenched in sweat and shivering with chills im quite fatigued and my heart is racing im also expecting some brownish phlegm
pneumonia,ive been getting chills feeling tired and i cant seem to shake this cough my chest aches and my heart feels like its racing at a million miles per hour when i cough im coughing out a foul rusty phlegm
pneumonia,im having a hard time breathing and i feel really uncomfortable im sweating a lot and theres a lot of phlegm in my throat my chest hurts and my heart is beating fast the mucus im coughing up is brownish
pneumonia,im having trouble breathing and am really uncomfortable im sweating profusely and have a lot of mucus in my throat my chest aches and my heart is racing im coughing up dark mucous
pneumonia,ive got a high fever and cant seem to catch my breath ive been sweating profusely and generally feeling ill and weak ive also had some quite thick and black phlegm my chest aches and my heart has been racing rapidly
pneumonia,lately ive been experiencing chills fatigue a cough a high fever and difficulty breathing ive been sweating a lot and just feeling really sick and weak ive also had some phlegm thats been really thick and dark
pneumonia,ive recently been suffering with chills lethargy a cough a high temperature and difficulties breathing ive been sweating profusely and generally feeling ill and weak ive also had some quite thick and black phlegm
pneumonia,lately ive been experiencing chills fatigue a cough a high fever and difficulty breathing ive been sweating a lot and just feeling really sick and weak ive also had some phlegm thats been really thick and dark
pneumonia,ive recently been suffering with chills lethargy a cough a high temperature and difficulties breathing ive been sweating profusely and generally feeling ill and weak ive also had some quite thick and red phlegm
pneumonia,ive had chills lethargy a cough a high temperature and difficulties breathing lately ive been sweating profusely and generally feeling ill and weak ive also had some quite thick and black phlegm
pneumonia,ive been having a lot of respiratory issues lately along with chills exhaustion a cough and a high temperature ive been sweating profusely and generally feeling ill and weak my chest aches and my heart has been racing rapidly
pneumonia,ive been suffering with chills tiredness and a cough recently ive been sweating tremendously and feeling overall unwell and weak ive also had some thick black phlegm my chest aches and my heart has been racing
pneumonia,im running a temperature and cant seem to catch my breath ive been sweating tremendously and feeling overall unwell and weak ive also had some thick black phlegm my heart has been beating frantically and my chest hurts
pneumonia,im drenched with sweat and cant seem to catch my breath my throat is clogged with mucus and im miserable my heart is racing and my chest aches im coughing up a brownish stringy mucus
pneumonia,im saturated with sweat and struggling to breathe my throat is blocked with mucous and im uncomfortable my heart is racing and my chest aches im coughing up a darkish stringy mucous
pneumonia,im having a lot of problems breathing im not feeling good and im sweating a lot i have a lot of mucous in my throat and my chest hurts my breathing is laboured and the phlegm im coughing up has an odd tint
pneumonia,i have a lot of difficulty breathing i dont feel well and im perspiring a lot my chest hurts and i have a lot of mucus in my throat im having trouble breathing and the phlegm im coughing up has a strange hue
pneumonia,ive been coughing a lot and feeling incredibly chilly and exhausted i have a pretty high fever and its difficult for me to breathe ive been perspiring a lot and generally feeling weak and ill ive had some quite thick and black phlegm
pneumonia,ive recently had chills exhaustion a cough a high temperature and breathing issues ive been perspiring a lot and generally feeling weak and ill ive had some quite thick and black phlegm my heart has been racing quite quickly
